n,rho0,seed,rho,solution_time_P1,solution_time_P2,solution_time_D1A,solution_time_D1B,solution_time_D2A,solution_time_D2B,optimal_val_P1,optimal_val_P2,optimal_val_D1A,optimal_val_D1B,optimal_val_D2A,optimal_val_D2B,objective_bound_P1,objective_bound_P2,objective_bound_D1A,objective_bound_D1B,objective_bound_D2A,objective_bound_D2B,relative_gap_P1,relative_gap_P2,relative_gap_D1A,relative_gap_D1B,relative_gap_D2A,relative_gap_D2B,termination_status_P1,termination_status_P2,termination_status_D1A,termination_status_D1B,termination_status_D2A,termination_status_D2B
50,12,7,3,28.7839090824127,22.3441250324249,611.153086922015,151.73973975901,454.128168541938,199.496134529938,0.00410155369552784,0.00410156486959501,21.6855286208575,-0.0993407437503278,-0.099340756790399,-0.0993409330720757,0.00410137163308358,0.00410103535586865,21.6855286208575,-0.0993407437503278,-0.099340756790399,-0.0993409330720757,0.00443886531238049,0.0129100414888442,0,0,0,0,OPTIMAL,OPTIMAL,TIME_LIMIT,OPTIMAL,OPTIMAL,OPTIMAL
50,12,7,6,600.018546104431,600.023705005646,611.20262519503,113.979832294979,437.926563421032,158.990092162974,0.0013312435120723,0.00135269997772099,27.7212919929028,-0.0993409170887546,-0.0993399435351998,-0.0993406245669007,-0.0377654517108655,-0.023112937980055,27.7212919929028,-0.0993409170887546,-0.0993399435351998,-0.0993406245669007,2936.8552686561,1808.65220379432,0,0,0,0,TIME_LIMIT,TIME_LIMIT,TIME_LIMIT,OPTIMAL,OPTIMAL,OPTIMAL
50,12,7,9,600.02351307869,600.14578294754,611.39639441797,132.940420057974,475.770695566083,139.430964544998,0.000712315727194555,0.000804489865189422,21.3417927447998,-0.0993407731017991,-0.0993401301494612,-0.0993407501619077,-0.0923881027863798,-0.0795111653288867,21.3417927447998,-0.0993407731017991,-0.0993401301494612,-0.0993407501619077,13070.1057072331,9983.42659980749,0,0,0,0,TIME_LIMIT,TIME_LIMIT,TIME_LIMIT,OPTIMAL,OPTIMAL,OPTIMAL
50,12,8,3,18.296149969101,18.0993909835815,611.255977525027,158.230406271992,451.867131839972,218.157926243031,0.00407774623086484,0.00407773784373247,21.8099417861942,-0.0990507528423457,-0.0990505573384822,-0.0990507810340467,0.00407765885820457,0.00407765737987251,21.8099417861942,-0.0990507528423457,-0.0990505573384822,-0.0990507810340467,0.00214267037055616,0.00197324749764854,0,0,0,0,OPTIMAL,OPTIMAL,TIME_LIMIT,OPTIMAL,OPTIMAL,OPTIMAL
50,12,8,6,600.017771959305,600.028496026993,611.648253080086,121.606928472989,476.0700003159,158.59181016509,0.00164843015167233,0.00104958349596687,27.8831930324773,-0.0990507473650649,-0.099050230482033,-0.0990506075310535,-0.0263344923306531,-0.010661858941534,27.8831930324773,-0.0990507473650649,-0.099050230482033,-0.0990506075310535,1697.5497841954,1115.81808236346,0,0,0,0,TIME_LIMIT,TIME_LIMIT,TIME_LIMIT,OPTIMAL,OPTIMAL,OPTIMAL
50,12,8,9,600.031794071198,600.051162958145,610.265187171986,138.28840354702,457.966978622018,139.786566733033,0.000119209052420881,0.000429322046428777,21.4987043636498,-0.0990501534955071,-0.0990504350943692,-0.0990506771285469,-0.0976281231411761,-0.0890876545059765,21.4987043636498,-0.0990501534955071,-0.0990504350943692,-0.0990506771285469,81996.568388522,20850.7756116959,0,0,0,0,TIME_LIMIT,TIME_LIMIT,TIME_LIMIT,OPTIMAL,OPTIMAL,OPTIMAL
50,12,9,3,22.3679931163788,23.3630590438843,609.835192953004,139.709266398102,433.715751804994,206.585997538059,0.00528600136819377,0.00528600148901708,19.3089946654473,-0.0964381974218028,-0.0964373366851843,-0.0964382496781479,0.00528595057324059,0.00528587613755233,19.3089946654473,-0.0964381974218028,-0.0964373366851843,-0.0964382496781479,0.000960933409576424,0.00237138534694395,0,0,0,0,OPTIMAL,OPTIMAL,TIME_LIMIT,OPTIMAL,OPTIMAL,OPTIMAL
50,12,9,6,600.047645092011,600.026741981506,610.711521890014,114.763089988031,437.038395607029,169.077394415042,0.000293377362369428,0.000293353338932753,24.612184986244,-0.0964383833806501,-0.0964373430837432,-0.0964383616690735,-0.0317356233344047,-0.0283037420723421,24.612184986244,-0.0964383833806501,-0.0964373430837432,-0.0964383616690735,10917.3388287684,9748.34495332957,0,0,0,0,TIME_LIMIT,TIME_LIMIT,TIME_LIMIT,OPTIMAL,OPTIMAL,OPTIMAL
50,12,9,9,600.015719890595,600.155570030212,611.507725079078,139.042606581002,454.110215224908,178.338172456017,4.34690204296556E-05,4.3524206793109E-05,19.0222903021416,-0.0964384000687713,-0.0964381424075289,-0.0964383306882302,-0.0918398130873771,-0.0988618043229361,19.0222903021416,-0.0964384000687713,-0.0964381424075289,-0.0964383306882302,211376.472714628,227242.116093862,0,0,0,0,TIME_LIMIT,TIME_LIMIT,TIME_LIMIT,OPTIMAL,OPTIMAL,OPTIMAL
50,12,10,3,18.790146112442,23.2403299808502,609.457282489049,144.588060469017,397.907149604987,208.012605068972,0.00455441901790568,0.00455441750809887,22.5559003008706,-0.0984519876842338,-0.0984515784864938,-0.0984519302093049,0.00455428708864433,0.00455387448758925,22.5559003008706,-0.0984519876842338,-0.0984515784864938,-0.0984519302093049,0.00289673086358946,0.0119229409394676,0,0,0,0,OPTIMAL,OPTIMAL,TIME_LIMIT,OPTIMAL,OPTIMAL,OPTIMAL
